,#,country,gender,age,household_income,education_level,years_from_grad,previous_lang_perf,previous_math_perf,time_in_mins,percent_viewed,views_number,learn_scores,cog_scores
143,8hlksnd8h6a8b6d5cdh8hlksni5xy1qj,Kenya,Male,31,4,2,6.0,4,5,39,100.0,2.0,-1.33226661162303,0.0824882452533962
144,4mlfacdwagqqgm67z4mlfhzlxvikzq1m,Sudan,Female,26,4,3,0.0,5,3,63,99.995,2.5,-0.549898940907925,-0.0029721318409152
145,fjdge5mb86fmly52sfjdgf6bfavti1gm,Kenya,Female,32,5,2,0.0,5,5,53,82.49000000000001,1.5,-0.252222884708387,-1.80728403029776
146,gkjdkov72ktygdbxxagkjdk21x90judn,Kenya,Male,23,1,2,1.0,5,4,113,98.18,4.0,-0.599414873040888,0.0114621614967279
147,9gltub2x3dk18dsxwkxg9gltu1hnsd65,Sudan,Female,24,3,1,0.0,4,4,0,81.05,4.0,0.13895568913965,0.157365294773233
148,tng1tgsvtf9hgy7n8xt7w5fdtng1t123,Nigeria,Female,26,1,2,-1.0,4,2,54,20.615,1.0,-0.691353857972826,-0.432946273289703
149,eiph1zrugal5vyioteiph1z1f3slp871,Nigeria,Female,32,1,2,10.0,5,3,72,100.0,1.0,-0.660040739495123,-0.667605501296735
150,ac57nvihag807xf53517acgs4osiiagd,Kenya,Female,22,3,2,-2.0,3,3,103,83.39,2.0,0.252956092887356,1.26309690896716
151,fydrflf7j3vufrhocxfydrof75f5tbpf,Kenya,Male,31,2,2,9.0,5,4,54,12.095,1.0,0.19863003117681,0.776549673945504
152,qcvcsthdklsn79hjczfqcvcqycmf24rj,Ghana,Male,23,3,2,0.0,1,5,62,55.175,1.0,-0.0331940318309284,-1.28445960052199
153,2hp9ozgha9hbvs5o2of2hp9ozgy1966j,Liberia,Male,28,1,2,1.0,3,4,101,92.94,4.0,-0.539370762922616,-0.100975203073301
154,oqnwstozjnzn68dz9swoqnwsm4r3up3k,Ghana,Male,29,1,2,-3.0,3,3,74,79.37,2.5,-0.422213686278799,-0.833482586682906
155,m2lqmxlmmu681cc2mr4gm2lqmxl4bd9r,Kenya,Female,26,1,2,4.0,3,5,8,52.225,1.0,-1.48821257122937,-1.12093804586367
156,30zy0rvv55ek30zppk54w5c66jvvdxpp,Kenya,Female,26,1,2,3.0,5,5,11,100.0,6.0,0.126271443621258,0.0598066209698498
157,1ucf5407jkc5esynu21ucfq7t5bs3y53,Zimbabwe,Female,23,5,2,0.0,5,5,105,97.87,1.5,1.01207720599079,0.644203357816051
158,me0t5sbspcy66iorhvhvme0t5s6os1xv,Malawi,Male,30,5,2,0.0,4,4,34,84.34,2.5,-2.03283087731542,-1.13826602694171
159,5fzm3gacx0wafwuedibtul5fzm3gam93,Kenya,Female,25,1,2,2.0,5,4,7,100.0,1.5,0.372739553947695,-0.042822022422415
160,44bg372fvwtebk44bg38mc5pumtzfwlm,Kenya,Male,28,1,2,1.0,4,5,29,21.545,2.0,-0.374654697032843,-1.23406653137732
161,zvanufp68mh5omfwfik3czvanm87ga61,Sudan,Female,24,2,3,2.0,5,5,108,95.395,1.5,0.848251157245909,1.19743579878113
162,fnnms5a15jxycpva52bdqefnnms5a1ow,Kenya,Female,26,1,2,5.0,4,5,34,99.73,1.0,-0.359123686090343,0.440699745775462
163,3eowhlxy3nyxog5u3eod8meh0ptsbmir,Kenya,Female,24,4,2,0.0,5,5,115,99.78,2.0,1.84698631797717,-0.958885360756218
164,tyaoccgrunuctyaocgwfch2gjsmg5u7l,Kenya,Male,22,1,2,0.0,5,5,69,100.0,1.0,1.30665987322499,0.954110076741181
165,05l6oub0uv9icyu2is05l6ojnw00czzd,Tanzania,Female,24,2,2,-1.0,5,4,73,100.0,1.0,-0.671914647976044,-0.856645563299082
166,ko0w240rjz4oj5cxzy3ko0w24oxz3pus,Kenya,Male,26,2,2,1.0,4,5,72,91.375,2.5,-0.169903792776816,-1.74528874828271
167,187jevjy6o4ohl50uyglj187jevak67y,Nigeria,Male,26,2,1,0.0,5,5,85,100.0,3.0,-1.18057729317157,0.742117872351021
168,nwf63wq78xbi16hjnwf63f9wfs5ns49v,Nigeria,Female,34,5,3,11.0,5,5,95,99.285,1.0,0.351231866623705,0.715409875244986
169,5egi6pd163x7yfwpl4l495egi6p6wn3q,Kenya,Female,31,1,2,8.0,3,5,45,100.0,2.5,-0.0786889444723473,0.140087345471312
170,811u27nqhldlzmetfqz811uxlh95en1z,Kenya,Male,33,3,2,7.0,4,4,91,100.0,2.0,0.198424763766555,0.220193032609807
171,tr9o33ti9j6l0fbadxu0q25p6tr9o33t,Malawi,Male,29,3,1,8.0,5,5,107,100.0,3.0,-0.798821672168445,-0.351636565767897
172,jwqper4x3a17h5jugte45jwqpergbc0x,Mozambique,Male,21,4,2,-1.0,5,5,87,50.06,1.0,1.35810588059984,0.935012397318738
173,w2alkm9qq0frbmbs8t2gw2alkyleakm0,Kenya,Female,24,2,2,3.0,4,5,102,20.985,3.0,0.699617679472606,1.24950667179615
174,cssjtb4e1vc7xsnmfncssjtb2yshi01f,Kenya,Female,23,1,2,0.0,3,5,48,99.87,1.5,0.493219976653272,0.304780133735133
